category,sub_category,description
art,museum,Visit the Getty Villa for art and culture. Free admission but reservations are required.
car,museum,The Petersen Automotive Museum in Los Angeles displays extraordinary cars and automotive history. Approximately 50 minutes from the hotel.
amusement,disneyland,Disneyland and California Adventure are located in Anaheim.
amusement,universal,Universal Studios offers movie-inspired rides and tours in Hollywood.
recreation,golf,Malibu Golf Club is a scenic 18-hole course located 15 minutes from the hotel. Club rentals available.
recreation,tennis,Our hotel features two tennis courts available for guest use. Reservations recommended. Racquets available for rent.
recreation,spa,The Ocean Vista Spa offers a variety of treatments including hot stone massage/full body/facials/bodywraps.(reservation required)
weather,climate,Malibu enjoys a Mediterranean climate with average temperatures ranging from 65°F to 85°F year-round. Evenings can be cool and even in summer.
weather,seasons,The best time to visit is late spring through early fall. Winter months may have occasional rain but are still mild.
entertainment,live,Catch live music at the Malibu Inn or comedy shows at the Malibu Playhouse. Ask our concierge for current schedules.
entertainment,movies,The Malibu Film Society hosts screenings throughout the year. The nearest multiplex cinema is in Santa Monica.
services,babysitting,Babysitting services can be arranged with 24-hour notice. Background-checked sitters available for $25/hour.
services,laundry,Same-day laundry and dry cleaning services are available if items are submitted before 9AM. See in-room directory for pricing.
services,medical,A doctor can be called to your room for medical assistance. The nearest hospital is 15 minutes away.


